segment,task_id,soc,occupation_title,skill_onet_wa,dwa_titles,E_onet_task,classification,confidence,matched_categories,matched_indicators,task_text,justification
top20,3783,23-1011.00,Lawyers,"['Getting Information', 'Analyzing Data or Information']",Identify implications for cases from legal precedents or other legal information. | Research relevant legal materials to aid decision making.,0.8407800062083165,Not Intrapreneurial,High,,,"Study Constitution, statutes, decisions, regulations, and ordinances of quasi-judicial bodies to determine ramifications for cases.","This is routine legal research and analysis to determine case ramifications—primarily maintenance/decision-support rather than generating or implementing new business opportunities, advocating new initiatives, taking innovation/risk, or performing managerial entrepreneurial actions (does not match criteria I–VI)."
top20,20877,23-1011.00,Lawyers,['Documenting/Recording Information'],Prepare legal documents.,0.8407800062083165,Not Intrapreneurial,High,,,"Prepare, draft, and review legal documents, such as wills, deeds, patent applications, mortgages, leases, and contracts.","This task is routine professional work focused on preparing, drafting, and reviewing standard legal documents—administrative and executional legal services rather than identifying or implementing new business opportunities, championing innovations, planning new ventures, or taking entrepreneurial risks. It does not match opportunity discovery (I), planning/advocacy for new business (II), entrepreneurial implementation/launch activities (III), innovation/risk-taking (IV), managerial actions to create new businesses (V), or eco-innovation (VI)."
top20,3775,23-1011.00,Lawyers,['Analyzing Data or Information'],Identify implications for cases from legal precedents or other legal information.,0.8407800062083165,Not Intrapreneurial,High,,,"Analyze the probable outcomes of cases, using knowledge of legal precedents.","This task describes routine legal analysis using precedents to predict case outcomes — professional judgment and case preparation rather than generating new business opportunities, championing ideas, implementing innovations, taking entrepreneurial risks, or performing role-specific managerial actions aimed at new ventures (does not meet criteria I–VI)."
top20,966,11-3021.00,Computer and Information Systems Managers,['Thinking Creatively'],Develop computer or information systems.,0.8191743277268002,Not Intrapreneurial,High,,,"Manage backup, security and user help systems.","This task describes routine operational management and maintenance (backup, security, user help) without signals of opportunity discovery, new product/service planning, advocacy, or risk-taking required by intrapreneurship criteria."
top20,970,11-3021.00,Computer and Information Systems Managers,['Updating and Using Relevant Knowledge'],Maintain knowledge of current developments in area of expertise.,0.8191743277268002,Intrapreneurial,Medium,I | V.A,Scan the environment for opportunities and threats | Maintain knowledge of current developments | Focus on scanning the environment for opportunities and threats (senior-level),Stay abreast of advances in technology.,Keeping up with technology advances matches Opportunity Discovery and Idea Generation (I) by scanning the environment for opportunities/threats and aligns with senior managerial scanning responsibilities (V.A) to identify effective means for new business or reconfiguration.
top20,980,11-3021.00,Computer and Information Systems Managers,['Documenting/Recording Information'],Prepare operational progress or status reports.,0.8191743277268002,Not Intrapreneurial,High,,Routine documentation/monitoring of progress | Administrative reporting and status review,Prepare and review operational reports or project progress reports.,"Task describes routine preparation and review of status/progress reports (documentation and monitoring). It lacks signals of generating new ideas, championing or implementing new business opportunities, risk-taking, or managerial actions to create new ventures (criteria I–VI)."
top20,971,11-3021.00,Computer and Information Systems Managers,['Thinking Creatively'],Develop computer or information systems.,0.8191743277268002,Intrapreneurial,High,II | III | V.A | V.B,"Design and plan strategic computing and information resources | Implement systems for data security, control, and disaster recovery | Direct and identify effective means to create or reconfigure IT resources | Acquire/deploy resources and shepherd IT initiatives","Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.","The task entails developing new or improved information resources and strategic computing capabilities, which involves planning (business/IT strategy), implementation (building systems, disaster recovery), and managerial oversight for security and control—matching Planning (II), Execution (III), and Senior/Middle managerial actions (V.A/V.B)."
top20,972,11-3021.00,Computer and Information Systems Managers,"['Getting Information', 'Judging the Qualities of Objects, Services, or People']",Evaluate project designs to determine adequacy or feasibility. | Review technical documents to plan work.,0.8191743277268002,Not Intrapreneurial,High,V.A,Ratify or approve organizational artifacts (ratify roles/structures) | Direct/authorize implementation through approval,Review and approve all systems charts and programs prior to their implementation.,"This is a routine managerial approval and governance task (oversight of system charts/programs) without signals of opportunity discovery, idea generation, advocacy for new initiatives, implementation of novel products, or risk-taking. It aligns with standard ratification/directing duties rather than entrepreneurial behaviors."
top20,978,11-3021.00,Computer and Information Systems Managers,"['Guiding, Directing, and Motivating Subordinates']","Manage operations, research, or logistics projects.",0.8191743277268002,Not Intrapreneurial,High,,,Review project plans to plan and coordinate project activity.,"This task describes routine review, planning, and coordination of project activity without signals of opportunity discovery, idea generation, advocacy for new initiatives, implementation of novel products, or eco-innovation. It is standard project management/operational coordination rather than entrepreneurial action."
top20,969,11-3021.00,Computer and Information Systems Managers,"['Judging the Qualities of Objects, Services, or People']",Evaluate employee performance.,0.8191743277268002,Intrapreneurial,Medium,V.A,Direct roles | Recognize/ratify roles | Manage and supervise employees,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",This task describes directing and supervising technical staff — a senior/mid-level managerial action (V.A) involving directing roles and managing work that can enable new business activities or innovation by organizing resources and personnel.
