task_id,task_description
147,"Compute load and grade requirements, water flow rates, or material stress factors to determine design specifications."
773,Submit articles and information from searches to attorneys for review and approval for use.
970,Stay abreast of advances in technology.
980,Prepare and review operational reports or project progress reports.
1152,"Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services."
1153,Study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies.
1252,"Evaluate customer records and recommend payment plans, based on earnings, savings data, payment history, and purchase activity."
1269,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program."
1274,Write or contribute to instructions or manuals to guide end users.
1277,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.
1279,"Assign, coordinate, and review work and activities of programming personnel."
1282,Answer user inquiries regarding computer software or hardware operation to resolve problems.
1283,Enter commands and observe system functioning to verify correct operations and detect errors.
1285,Oversee the daily performance of computer systems.
1287,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities."
1288,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support."
1300,"Test programs or databases, correct errors, and make necessary modifications."
1313,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions."
1320,Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.
1325,Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.
1418,Provide feedback to design engineers on customer problems or needs.
1475,"Draft detail drawing or sketch for drafting room completion or to request parts fabrication by machine, sheet or wood shops."
1476,"Review project instructions and blueprints to ascertain test specifications, procedures, and objectives, and test nature of technical problems such as redesign."
1485,Calculate required capacities for equipment of proposed system to obtain specified performance and submit data to engineering personnel for approval.
1486,"Record test procedures and results, numerical and graphical data, and recommendations for changes in product or test methods."
1778,"Allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles."
1781,Review and approve proofs submitted by composing room prior to publication production.
1785,"Assign topics, events and stories to individual writers or reporters for coverage."
2585,"Obtain and examine all relevant information to assess validity of complaints and to determine possible causes, such as extreme weather conditions that could increase utility bills."
2589,Compare disputed merchandise with original requisitions and information from invoices and prepare invoices for returned goods.
2591,"Recommend improvements in products, packaging, shipping, service, or billing methods and procedures to prevent future problems."
2793,Locate and attach appropriate files to incoming correspondence requiring replies.
2794,"Open, read, route, and distribute incoming mail or other materials and answer routine letters."
2795,Complete forms in accordance with company procedures.
2800,Maintain scheduling and event calendars.
2801,"Schedule and confirm appointments for clients, customers, or supervisors."
2805,"Conduct searches to find needed information, using such sources as the Internet."
2806,"Provide services to customers, such as order placement or account information."
2809,Establish work procedures or schedules and keep track of the daily work of clerical staff.
2813,"Operate electronic mail systems and coordinate the flow of information, internally or with other organizations."
2821,"Enter digitized data into electronic prepress system computer memory, using scanner, camera, keyboard, or mouse."
2822,"Edit graphics and photos, using pixel or bitmap editing, airbrushing, masking, or image retouching."
3243,Contact organizations to explain services and facilities offered.
3414,Compute payment schedules.
3466,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology."
3474,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering."
3482,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems."
3484,Specify inputs accessed by the system and plan the distribution and use of the results.
3590,Assign work to staff to obtain maximum utilization of personnel.
3906,Collaborate with promotions directors to produce on-air station promotions.
3977,Analyze developments in specific field to determine need for revisions in previously published materials and development of new material.
4628,Schedule appointments for sales representatives to meet with prospective customers or for customers to attend sales presentations.
5319,Monitor use of data files and regulate access to safeguard information in computer files.
5505,"Develop, operate, and maintain geographical information computer systems, including hardware, software, plotters, digitizers, printers, and video cameras."
7368,Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.
7370,Perform computations and apply methods of numerical analysis to data.
9741,"Prepare applications and forms for applicants for such purposes as school enrollment, employment, and medical services."
9766,"Provide customers with travel suggestions and information sources, such as guides, directories, brochures, or maps."
9767,Contact customers or travel agents to advise them of travel conveyance changes or to confirm reservations.
11245,"Collaborate with colleagues to exchange information, such as selling strategies or marketing information."
11246,Prepare sales presentations or proposals to explain product specifications or applications.
11249,"Inform customers of estimated delivery schedules, service contracts, warranties, or other information pertaining to purchased products."
11367,"Record production data, including volume produced, consumption of raw materials, or quality control measures."
11368,Requisition and maintain inventories of materials or supplies necessary to meet production demands.
11369,"Calculate figures, such as required amounts of labor or materials, manufacturing costs, or wages, using pricing schedules, adding machines, calculators, or computers."
11371,"Compile information, such as production rates and progress, materials inventories, materials used, or customer information, so that status reports can be completed."
11373,Contact suppliers to verify shipment details.
