category,segment,n_tasks_segment,n_with_category,pct_with_category
I,bottom20,2,1,50.0
I,middle60,28,18,64.28571428571429
I,top20,32,18,56.25
II,bottom20,2,1,50.0
II,middle60,28,18,64.28571428571429
II,top20,32,20,62.5
III,bottom20,2,1,50.0
III,middle60,28,8,28.57142857142857
III,top20,32,21,65.625
IV,bottom20,2,0,0.0
IV,middle60,28,3,10.714285714285714
IV,top20,32,9,28.125
V.A,bottom20,2,0,0.0
V.A,middle60,28,1,3.571428571428571
V.A,top20,32,5,15.625
V.B,bottom20,2,0,0.0
V.B,middle60,28,4,14.285714285714285
V.B,top20,32,4,12.5
V.C,bottom20,2,2,100.0
V.C,middle60,28,7,25.0
V.C,top20,32,7,21.875
VI,bottom20,2,0,0.0
VI,middle60,28,2,7.142857142857142
VI,top20,32,5,15.625
