combination,n_tasks,pct_of_intrap,n_categories,rank
I+II,18,11.920529801324504,2,1
I,17,11.258278145695364,1,2
II+III+V.C,8,5.298013245033113,3,3
II+V.B,8,5.298013245033113,2,4
I+II+III+IV,8,5.298013245033113,4,5
I+II+III,6,3.9735099337748347,3,6
II+III,6,3.9735099337748347,2,7
I+II+V.B,5,3.3112582781456954,3,8
I+IV,5,3.3112582781456954,2,9
II+V.C,4,2.6490066225165565,2,10
II+III+V.B,4,2.6490066225165565,3,11
I+III+IV,4,2.6490066225165565,3,12
I+III+IV+V.C,3,1.9867549668874174,4,13
I+V.A,3,1.9867549668874174,2,14
II+VI,3,1.9867549668874174,2,15
I+VI,3,1.9867549668874174,2,16
I+II+IV,3,1.9867549668874174,3,17
I+III+V.C,3,1.9867549668874174,3,18
I+II+VI,3,1.9867549668874174,3,19
V.A,2,1.3245033112582782,1,20
I+V.C,2,1.3245033112582782,2,21
I+II+III+V.C,2,1.3245033112582782,4,22
III+VI,2,1.3245033112582782,2,23
II+V.A+V.B,2,1.3245033112582782,3,24
III+V.C,2,1.3245033112582782,2,25
I+II+III+IV+V.C,2,1.3245033112582782,5,26
II,2,1.3245033112582782,1,27
II+III+V.A,2,1.3245033112582782,3,28
I+II+V.C,2,1.3245033112582782,3,29
III+IV,1,0.6622516556291391,2,30
II+III+V.A+V.B,1,0.6622516556291391,4,31
V.B+V.C,1,0.6622516556291391,2,32
I+II+III+V.B,1,0.6622516556291391,4,33
I+III+V.C+VI,1,0.6622516556291391,4,34
II+V.B+VI,1,0.6622516556291391,3,35
II+III+VI,1,0.6622516556291391,3,36
I+II+III+IV+VI,1,0.6622516556291391,5,37
III+V.A+VI,1,0.6622516556291391,3,38
I+II+IV+VI,1,0.6622516556291391,4,39
III+IV+V.C,1,0.6622516556291391,3,40
II+IV,1,0.6622516556291391,2,41
III+V.C+VI,1,0.6622516556291391,3,42
VI,1,0.6622516556291391,1,43
I+II+V.A,1,0.6622516556291391,3,44
III+V.A,1,0.6622516556291391,2,45
I+IV+VI,1,0.6622516556291391,3,46
