indicator,segment,n_tasks,n_with_indicator,pct_with_indicator
Scan the environment for opportunities and threats,bottom20,2,0,0.0
Scan the environment for opportunities and threats,middle60,28,2,7.142857142857142
Scan the environment for opportunities and threats,top20,32,2,6.25
Recognize and perceive opportunities worth pursuin,bottom20,2,0,0.0
Recognize and perceive opportunities worth pursuin,middle60,28,1,3.571428571428571
Recognize and perceive opportunities worth pursuin,top20,32,2,6.25
Anticipate problems and opportunities,bottom20,2,0,0.0
Anticipate problems and opportunities,middle60,28,1,3.571428571428571
Anticipate problems and opportunities,top20,32,0,0.0
Search for opportunities through market scanning,bottom20,2,0,0.0
Search for opportunities through market scanning,middle60,28,1,3.571428571428571
Search for opportunities through market scanning,top20,32,0,0.0
Acquire information about competitors,bottom20,2,0,0.0
Acquire information about competitors,middle60,28,1,3.571428571428571
Acquire information about competitors,top20,32,0,0.0
Experiment to surface operational ideas for innova,bottom20,2,0,0.0
Experiment to surface operational ideas for innova,middle60,28,1,3.571428571428571
Experiment to surface operational ideas for innova,top20,32,1,3.125
"Search out new techniques, technologies, and produ",bottom20,2,0,0.0
"Search out new techniques, technologies, and produ",middle60,28,1,3.571428571428571
"Search out new techniques, technologies, and produ",top20,32,0,0.0
Experiment to surface operational ideas and adjust,bottom20,2,0,0.0
Experiment to surface operational ideas and adjust,middle60,28,0,0.0
Experiment to surface operational ideas and adjust,top20,32,0,0.0
Experiment/adjust processes to surface operational,bottom20,2,0,0.0
Experiment/adjust processes to surface operational,middle60,28,1,3.571428571428571
Experiment/adjust processes to surface operational,top20,32,0,0.0
Acquire information about competitors/market,bottom20,2,0,0.0
Acquire information about competitors/market,middle60,28,0,0.0
Acquire information about competitors/market,top20,32,1,3.125
Use out-of-the-box thinking,bottom20,2,0,0.0
Use out-of-the-box thinking,middle60,28,1,3.571428571428571
Use out-of-the-box thinking,top20,32,0,0.0
Adjust processes through competence modification,bottom20,2,0,0.0
Adjust processes through competence modification,middle60,28,1,3.571428571428571
Adjust processes through competence modification,top20,32,1,3.125
"Identify, acquire, and deploy resources to pursue ",bottom20,2,0,0.0
"Identify, acquire, and deploy resources to pursue ",middle60,28,1,3.571428571428571
"Identify, acquire, and deploy resources to pursue ",top20,32,0,0.0
Show innovative and creative behaviors,bottom20,2,0,0.0
Show innovative and creative behaviors,middle60,28,1,3.571428571428571
Show innovative and creative behaviors,top20,32,0,0.0
Develop comprehensive plans / convert ideas into f,bottom20,2,0,0.0
Develop comprehensive plans / convert ideas into f,middle60,28,1,3.571428571428571
Develop comprehensive plans / convert ideas into f,top20,32,0,0.0
Identify long-term opportunities and threats for t,bottom20,2,0,0.0
Identify long-term opportunities and threats for t,middle60,28,0,0.0
Identify long-term opportunities and threats for t,top20,32,0,0.0
Search for opportunities through idea generation a,bottom20,2,0,0.0
Search for opportunities through idea generation a,middle60,28,0,0.0
Search for opportunities through idea generation a,top20,32,0,0.0
Direct roles,bottom20,2,0,0.0
Direct roles,middle60,28,1,3.571428571428571
Direct roles,top20,32,1,3.125
Design new projects or recombine resources,bottom20,2,0,0.0
Design new projects or recombine resources,middle60,28,0,0.0
Design new projects or recombine resources,top20,32,0,0.0
Promote and champion ideas to others / advise stak,bottom20,2,0,0.0
Promote and champion ideas to others / advise stak,middle60,28,0,0.0
Promote and champion ideas to others / advise stak,top20,32,0,0.0
