task_id,task_text,matched_categories,phenotype_DISC,phenotype_PLAN,phenotype_EXEC,phenotype_FULL,phenotype_INNOV,phenotype_MGR,n_phenotypes,dominant_phenotype
970,Stay abreast of advances in technology.,I | V.A,1,0,0,0,0,1,2,DISC
971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",II | III | V.A | V.B,0,0,0,0,0,1,1,MGR
969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",V.A,0,0,0,0,0,1,1,MGR
979,Evaluate data processing proposals to assess project feasibility and requirements.,II | V.B,0,1,0,0,0,1,2,PLAN
16788,Create or modify web-based bioinformatics tools.,III | IV,0,0,1,0,1,0,2,EXEC
16786,Develop new software applications or customize existing applications to meet specific scientific project needs.,I | II | III | IV,0,0,0,1,1,0,2,FULL
16790,Create novel computational approaches and analytical tools as required by research goals.,I | II | III | IV,0,0,0,1,1,0,2,FULL
3589,"Evaluate findings to develop, design, or test equipment or processes.",I | II | III | V.C,0,0,0,1,0,1,2,FULL
3581,Analyze data to recommend placement of wells and supplementary processes to enhance production.,I | II | III,0,0,0,1,0,0,1,FULL
3580,"Monitor production rates, and plan rework processes to improve production.",V.C | III,0,0,1,0,0,1,2,EXEC
17231,Participate in quality improvement activities including discussions of areas where risk of error is high.,I | V.C,1,0,0,0,0,1,2,DISC
17249,Develop or monitor procedures to ensure adequate quality control of images.,II | III | V.C,0,0,0,0,0,1,1,MGR
15425,Create and implement inspection and testing criteria or procedures.,II | III | V.C,0,0,0,0,0,1,1,MGR
14626,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",I | III | IV,0,0,0,0,1,0,1,INNOV
14625,Evaluate project plans and proposals to assess feasibility issues.,I | II,1,0,0,0,0,0,1,DISC
14623,Analyze problems to develop solutions involving computer hardware and software.,I | III | IV | V.C,0,0,0,0,1,1,2,INNOV
14633,Design computers and the software that runs them.,I | II | III | IV,0,0,0,1,1,0,2,FULL
19601,"Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions.",I | II | III | IV | VI,0,0,0,1,1,0,2,FULL
20726,"Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates.",II | III | VI,0,0,0,0,0,0,0,NONE
1339,"Formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements.",I | III | IV,0,0,0,0,1,0,1,INNOV
1313,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",II | III | V.C,0,0,0,0,0,1,1,MGR
15459,"Conduct cost, material, and efficiency studies for biofuels production plants or operations.",I | II | VI,1,0,0,0,0,0,1,DISC
15457,Prepare and manage biofuels plant or unit budgets.,II | V.B | VI,0,1,0,0,0,1,2,PLAN
15460,"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.",III | V.A | VI,0,0,1,0,0,1,2,EXEC
22532,"Perform management activities, such as budgeting, scheduling, planning, and marketing.",II | III | V.B,0,0,0,0,0,1,1,MGR
22537,Review film daily to check on work in progress and to plan for future filming.,II | III | V.A,0,0,0,0,0,1,1,MGR
22533,Compose and edit scripts or provide screenwriters with story outlines from which scripts can be written.,I | III | IV,0,0,0,0,1,0,1,INNOV
22539,Write and submit proposals to bid on contracts for projects.,II | III,0,0,0,0,0,0,0,NONE
22519,Study and research scripts to determine how they should be directed.,I | II,1,0,0,0,0,0,1,DISC
20242,"Research current trends and new technology, such as printing production techniques, computer software, and design trends.",I,1,0,0,0,0,0,1,DISC
21329,Review reports of securities transactions or price lists to analyze market conditions.,I,1,0,0,0,0,0,1,DISC
21321,Develop or analyze information to assess the current or future financial status of firms.,I | II,1,0,0,0,0,0,1,DISC
3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",I,1,0,0,0,0,0,1,DISC
15721,"Investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources.",I | II,1,0,0,0,0,0,1,DISC
3405,Compile and analyze accounting records and other data to determine the financial resources required to implement a program.,II,0,1,0,0,0,0,1,PLAN
3395,Direct the preparation of regular and special budget reports.,V.A,0,0,0,0,0,1,1,MGR
3415,Stay abreast of new types of loans and other financial services and products to better meet customers' needs.,I,1,0,0,0,0,0,1,DISC
