phenotype,segment,n_tasks_segment,n_with_phenotype,pct_with_phenotype,z_statistic,p_value_trend,q_value_fdr
DISC,bottom20,2,1,50.0,-1.2975700794199856,0.19443510927577723,0.38487706224497376
DISC,middle60,28,11,39.285714285714285,-1.2975700794199856,0.19443510927577723,0.38487706224497376
DISC,top20,32,8,25.0,-1.2975700794199856,0.19443510927577723,0.38487706224497376
PLAN,bottom20,2,0,0.0,-0.9929570510193282,0.32073088520414483,0.38487706224497376
PLAN,middle60,28,5,17.857142857142858,-0.9929570510193282,0.32073088520414483,0.38487706224497376
PLAN,top20,32,2,6.25,-0.9929570510193282,0.32073088520414483,0.38487706224497376
EXEC,bottom20,2,0,0.0,1.6347335561272875,0.10210491482962092,0.30631474448886276
EXEC,middle60,28,0,0.0,1.6347335561272875,0.10210491482962092,0.30631474448886276
EXEC,top20,32,3,9.375,1.6347335561272875,0.10210491482962092,0.30631474448886276
FULL,bottom20,2,0,0.0,1.058043101342467,0.2900357927834345,0.38487706224497376
FULL,middle60,28,3,10.714285714285714,1.058043101342467,0.2900357927834345,0.38487706224497376
FULL,top20,32,6,18.75,1.058043101342467,0.2900357927834345,0.38487706224497376
INNOV,bottom20,2,0,0.0,1.8312681524991408,0.06706052871388568,0.30631474448886276
INNOV,middle60,28,3,10.714285714285714,1.8312681524991408,0.06706052871388568,0.30631474448886276
INNOV,top20,32,9,28.125,1.8312681524991408,0.06706052871388568,0.30631474448886276
MGR,bottom20,2,2,100.0,-0.24964497023507246,0.8028619181944772,0.8028619181944772
MGR,middle60,28,11,39.285714285714285,-0.24964497023507246,0.8028619181944772,0.8028619181944772
MGR,top20,32,15,46.875,-0.24964497023507246,0.8028619181944772,0.8028619181944772
