phenotype,pref_metric,median,iqr,n_tasks
DISC,worker_automation_desire,2.3440931340865836,0.7120227575342133,54
PLAN,worker_automation_desire,2.5472697432815465,0.6055781754146832,21
EXEC,worker_automation_desire,2.336092637693665,1.2114215207163754,9
FULL,worker_automation_desire,2.5199671523905907,0.9310766420185079,20
INNOV,worker_automation_desire,2.707284193945203,1.0892581367087981,31
MGR,worker_automation_desire,2.425551424071927,0.7605988392008252,64
DISC,worker_enjoyment,3.6536328416341926,1.0841262336520616,54
PLAN,worker_enjoyment,3.8729215798533154,0.6425410770731048,21
EXEC,worker_enjoyment,3.2117091617367173,0.7928337738851092,9
FULL,worker_enjoyment,3.761343680100839,0.9652722913430698,20
INNOV,worker_enjoyment,4.048627621094588,1.1184085704133562,31
MGR,worker_enjoyment,3.6781565938550282,1.2203055595601806,64
