task_id,Importance,Frequency,intrap_binary,quadrant
3226,4.07,3,0,Critical
3242,3.87,3,0,Peripheral
3223,3.67,3,0,Peripheral
3243,3.61,5,0,Operational
3233,3.59,3,0,Peripheral
3234,3.25,3,1,Peripheral
978,4.08,3,0,Critical
969,4.04,5,1,Core
971,3.94,3,1,Peripheral
970,3.88,4,1,Operational
972,3.68,3,0,Peripheral
980,3.63,5,0,Operational
979,3.59,3,1,Peripheral
974,3.53,3,0,Peripheral
966,4.19,5,0,Core
21315,3.61,3,0,Peripheral
21321,4.14,5,1,Core
21318,4.09,5,0,Core
21317,3.98,5,0,Operational
21314,3.65,3,0,Peripheral
21326,3.61,5,0,Operational
21329,3.18,3,1,Peripheral
8870,4.52,5,1,Core
20168,4.4,5,0,Core
8861,4.33,5,0,Core
8865,4.22,3,1,Critical
8867,4.08,3,1,Critical
8873,4.0,3,0,Critical
15415,4.35,3,0,Critical
15430,4.33,5,0,Core
15414,4.24,5,0,Core
15428,4.23,3,0,Critical
15424,4.1,4,0,Core
15416,3.93,3,0,Peripheral
15427,3.92,3,0,Peripheral
15425,3.78,3,1,Peripheral
15423,3.78,3,0,Peripheral
15456,4.25,5,0,Core
15458,4.22,6,0,Core
15461,4.22,5,0,Core
15460,3.72,3,1,Peripheral
15457,3.56,4,1,Operational
15459,3.56,3,1,Peripheral
1021,4.53,4,0,Core
1033,4.22,3,0,Critical
1025,4.18,3,0,Critical
1031,4.18,4,0,Core
1035,4.13,3,0,Critical
1022,4.12,5,0,Core
1026,4.05,3,1,Critical
1020,4.0,3,0,Critical
20942,4.24,3,1,Critical
20943,4.2,5,0,Core
15680,4.11,4,1,Core
15700,4.1,3,1,Critical
15696,4.06,3,1,Critical
15697,4.0,3,0,Critical
20945,3.95,3,0,Peripheral
20946,3.68,3,1,Peripheral
15691,3.39,3,0,Peripheral
985,4.17,3,0,Critical
982,4.04,3,0,Critical
994,4.04,3,1,Critical
993,3.57,3,0,Peripheral
1002,3.25,3,0,Peripheral
49,4.31,5,1,Core
51,4.16,3,0,Critical
55,4.16,3,1,Critical
52,4.11,5,0,Core
61,3.83,3,1,Peripheral
57,3.78,3,0,Peripheral
15612,4.49,4,0,Core
15595,4.41,3,0,Critical
15594,4.35,4,0,Core
15614,4.27,5,0,Core
15593,4.22,3,0,Critical
15608,4.11,3,0,Critical
15592,4.08,5,0,Core
15609,4.07,3,0,Critical
15600,3.96,3,0,Peripheral
15598,3.85,3,0,Peripheral
15607,3.62,4,0,Operational
15583,3.48,3,0,Peripheral
15590,3.58,4,0,Operational
15584,3.48,4,0,Operational
18037,4.61,3,0,Critical
18022,4.48,3,0,Critical
18030,4.09,4,0,Core
18038,3.95,3,0,Peripheral
18032,3.41,3,1,Peripheral
1146,4.55,5,0,Core
1143,4.55,6,0,Core
1145,4.35,4,0,Core
1151,4.0,5,0,Core
1144,4.0,3,0,Critical
1148,3.77,3,0,Peripheral
1153,3.68,4,1,Operational
1157,3.52,3,0,Peripheral
1152,3.35,4,0,Operational
21447,4.38,7,0,Core
21448,4.37,5,0,Core
21449,4.3,5,0,Core
21457,4.07,3,0,Critical
80,4.27,4,0,Core
20846,4.18,4,0,Core
84,4.0,3,0,Critical
87,3.72,3,0,Peripheral
18859,4.5,3,0,Critical
18866,4.33,3,0,Critical
18868,4.18,3,0,Critical
18860,4.18,3,0,Critical
18857,3.91,3,0,Peripheral
18865,3.86,3,0,Peripheral
18853,3.81,4,0,Operational
21097,4.45,3,0,Critical
18869,4.34,3,0,Critical
18855,4.28,3,0,Critical
18876,4.11,6,0,Core
15898,4.48,4,0,Core
20009,4.39,5,0,Core
15889,4.38,5,0,Core
15890,4.35,6,0,Core
15903,4.19,5,0,Core
15893,4.14,3,1,Critical
15904,4.1,3,0,Critical
15895,4.05,4,0,Core
15883,4.0,6,0,Core
15894,3.95,4,0,Operational
15897,3.93,5,0,Operational
15899,3.91,5,0,Operational
15902,3.8,4,0,Operational
15887,4.07,5,0,Core
15884,3.83,4,0,Operational
15885,2.92,3,0,Peripheral
7276,4.48,3,0,Critical
7277,4.45,3,1,Critical
7282,4.24,3,1,Critical
7285,4.1,3,1,Critical
18931,4.65,5,0,Core
18907,4.53,5,0,Core
18912,4.33,3,1,Critical
18911,4.16,5,1,Core
18926,4.06,4,1,Core
18919,3.94,4,0,Operational
18932,3.67,3,0,Peripheral
18908,3.5,3,0,Peripheral
18924,3.45,3,1,Peripheral
18918,3.39,3,0,Peripheral
20475,4.62,4,0,Core
19559,4.45,3,1,Critical
98,4.4,4,0,Core
20474,4.33,3,1,Critical
102,4.1,3,1,Critical
101,4.0,3,0,Critical
20476,3.82,3,0,Peripheral
106,3.79,3,1,Peripheral
93,3.73,3,0,Peripheral
95,3.26,3,0,Peripheral
20328,4.52,3,0,Critical
20329,4.52,4,0,Core
16192,4.52,4,0,Core
16182,4.52,3,1,Critical
16190,4.27,4,0,Core
20318,4.17,4,0,Core
20326,4.17,3,0,Critical
20321,4.14,4,1,Core
20319,4.09,3,1,Critical
20330,3.86,3,1,Peripheral
20327,3.83,5,1,Operational
16191,3.73,3,0,Peripheral
16186,3.61,3,1,Peripheral
16179,3.5,3,1,Peripheral
15980,4.22,5,0,Core
15979,4.13,3,1,Critical
15973,4.0,5,0,Core
15968,4.0,3,1,Critical
15976,3.96,3,0,Peripheral
15975,3.96,4,1,Operational
15978,3.95,4,1,Operational
15969,3.74,3,1,Peripheral
15731,4.46,5,0,Core
15710,4.46,5,0,Core
15709,4.42,7,0,Core
15728,4.38,7,0,Core
15707,4.31,7,0,Core
15730,4.3,5,0,Core
15734,4.25,3,0,Critical
15703,4.19,5,0,Core
15735,4.17,3,0,Critical
15714,4.13,4,0,Core
15732,4.08,3,0,Critical
15704,4.08,5,0,Core
15711,3.85,5,0,Operational
15717,3.85,4,0,Operational
15721,3.81,3,1,Peripheral
21511,4.3,3,0,Critical
21514,4.24,3,0,Critical
21515,4.23,3,0,Critical
21516,4.23,3,0,Critical
21519,4.03,5,0,Core
21520,4.03,3,0,Critical
21522,3.82,3,0,Peripheral
21549,4.75,5,0,Core
21550,4.65,4,0,Core
21552,4.5,4,1,Core
21553,4.5,5,0,Core
21555,4.45,6,0,Core
21557,4.39,5,0,Core
21558,4.37,5,0,Core
21562,4.26,4,0,Core
21565,4.15,4,0,Core
21566,4.1,5,0,Core
21567,4.0,5,0,Core
21570,3.75,4,0,Operational
3394,4.37,3,0,Critical
3401,4.15,3,0,Critical
3405,4.12,3,1,Critical
3395,4.02,3,1,Critical
1250,4.9,7,0,Core
1254,4.76,5,0,Core
1255,4.55,5,0,Core
1251,4.55,5,0,Core
1259,4.53,5,0,Core
1257,4.25,5,0,Core
1252,3.69,5,0,Operational
12904,4.62,5,1,Core
20184,4.44,5,0,Core
20189,4.21,4,0,Core
12913,4.04,4,0,Core
20188,3.58,5,0,Operational
7319,4.45,3,0,Critical
7320,4.13,3,0,Critical
7318,3.96,3,0,Peripheral
18935,4.84,7,0,Core
18938,4.79,7,0,Core
18936,4.76,7,0,Core
18943,4.72,6,0,Core
18934,4.72,7,0,Core
18937,4.52,5,0,Core
18942,4.48,5,0,Core
18940,4.42,7,0,Core
18933,4.24,7,0,Core
3409,4.57,5,0,Core
3407,4.4,5,0,Core
3416,4.19,4,0,Core
3413,4.14,3,0,Critical
3412,4.13,5,0,Core
3411,4.13,4,0,Core
3415,3.87,3,1,Peripheral
3414,3.57,4,0,Operational
7360,4.81,7,0,Core
7358,4.68,7,0,Core
7362,4.68,6,0,Core
7359,4.59,7,0,Core
7363,4.5,5,0,Core
7364,4.43,5,0,Core
20363,4.27,5,0,Core
7365,4.05,5,0,Core
21165,3.91,5,0,Operational
15997,4.4,3,0,Critical
15988,3.65,3,0,Peripheral
15983,3.58,4,0,Operational
20950,4.24,3,0,Critical
3465,4.0,5,0,Core
3482,3.97,5,1,Operational
3466,3.71,6,0,Operational
3474,3.6,5,1,Operational
3484,3.48,4,1,Operational
3470,3.47,3,1,Peripheral
3480,3.21,3,0,Peripheral
3478,3.6,3,0,Peripheral
18090,4.81,3,1,Critical
18092,4.71,6,1,Core
18094,4.33,5,0,Core
18101,4.24,5,0,Core
18093,4.15,3,1,Critical
18088,4.14,4,1,Core
18095,3.9,5,1,Operational
18100,3.81,3,1,Peripheral
18103,3.43,3,0,Peripheral
5314,4.4,4,1,Core
5316,4.23,5,0,Core
5317,4.1,3,0,Critical
5322,3.94,3,0,Peripheral
5319,3.89,5,0,Operational
14623,4.24,5,1,Core
14626,3.89,5,1,Operational
14624,3.76,3,0,Peripheral
14633,3.63,7,1,Operational
14625,3.46,3,1,Peripheral
14636,2.77,3,0,Peripheral
19004,4.44,5,0,Core
18991,4.37,5,0,Core
19003,4.26,3,0,Critical
18993,4.09,5,0,Core
18992,4.04,3,0,Critical
19002,3.96,3,0,Peripheral
19010,3.96,5,0,Operational
18989,3.94,5,0,Operational
19011,3.34,4,1,Operational
1285,3.99,5,0,Operational
1288,3.94,6,0,Operational
1282,3.79,7,0,Operational
1283,3.57,5,0,Operational
1287,3.47,5,0,Operational
1292,3.39,3,1,Peripheral
1290,3.3,3,0,Peripheral
1299,4.0,3,0,Critical
1301,3.93,3,0,Peripheral
1305,3.8,3,0,Peripheral
1300,3.68,5,0,Operational
1313,3.15,4,1,Operational
1314,2.78,3,0,Peripheral
1318,4.27,6,0,Core
1317,4.14,5,0,Core
15206,3.97,5,0,Operational
1320,3.87,5,0,Operational
1325,3.77,5,0,Operational
1319,3.74,3,0,Peripheral
1329,3.65,3,0,Peripheral
1323,3.57,3,1,Peripheral
1322,3.56,3,0,Peripheral
1321,3.41,3,0,Peripheral
1273,4.42,7,0,Core
1267,4.38,6,0,Core
1272,4.37,5,0,Core
1270,4.15,6,0,Core
1276,3.58,3,0,Peripheral
1269,3.56,5,0,Operational
1277,3.28,5,0,Operational
1274,3.27,4,0,Operational
1275,3.26,3,0,Peripheral
1279,3.22,4,1,Operational
21049,3.24,5,0,Operational
14642,4.7,6,0,Core
14641,4.68,6,0,Core
14640,4.52,3,0,Critical
14638,4.35,3,0,Critical
14648,4.3,5,0,Core
14653,4.27,4,0,Core
14652,4.26,6,0,Core
14639,4.21,3,0,Critical
14644,4.15,5,0,Core
14649,4.12,3,1,Critical
14643,4.12,5,0,Core
14650,4.09,4,0,Core
14645,4.0,3,0,Critical
14654,3.97,4,0,Operational
14655,3.88,3,0,Peripheral
14647,3.71,3,0,Peripheral
14658,3.7,4,0,Operational
14707,4.58,7,0,Core
14694,4.42,5,0,Core
14698,4.35,5,0,Core
14700,4.09,4,0,Core
14710,4.04,3,0,Critical
14695,4.0,3,0,Critical
14713,3.67,5,1,Operational
