task_id,task_description
57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives."
61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.
87,Prepare cost and expenditure statements and other necessary documentation at regular intervals for the duration of the project.
93,"Keep up with developments in area of expertise by reading current journals, books, or magazine articles."
95,"Schedule classes based on availability of classrooms, equipment, or instructors."
106,Devise programs to develop executive potential among employees in lower-level positions.
151,"Estimate quantities and cost of materials, equipment, or labor to determine project feasibility."
771,Draft and type office memos.
784,"Perform various clerical or administrative functions, such as ordering and maintaining an inventory of supplies."
971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery."
972,Review and approve all systems charts and programs prior to their implementation.
974,Control operational budget and expenditures.
979,Evaluate data processing proposals to assess project feasibility and requirements.
993,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates."
1002,"Develop, administer, and evaluate applicant tests."
1148,"Monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods."
1157,"Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased."
1275,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions."
1276,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language."
1290,"Develop training materials and procedures, or train users in the proper use of hardware or software."
1292,"Prepare evaluations of software or hardware, and recommend improvements or upgrades."
1301,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure."
1305,Specify users and user access levels for each segment of database.
1314,"Review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records."
1319,"Plan, coordinate, and implement network security measures to protect data, software, and hardware."
1321,"Perform routine network startup and shutdown procedures, and maintain control records."
1322,"Design, configure, and test computer hardware, networking software and operating system software."
1323,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes."
1329,Analyze equipment performance records to determine the need for repair or replacement.
1340,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers."
1346,Maintain records of performance reports for future reference.
1420,"Conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems."
1477,"Review project instructions and specifications to identify, modify and plan requirements fabrication, assembly and testing."
1482,"Analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications."
2797,"Review work done by others to check for correct spelling and grammar, ensure that company format policies are followed, and recommend revisions."
3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.
3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.
3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning."
3242,Coordinate with the media to disseminate advertising.
3415,Stay abreast of new types of loans and other financial services and products to better meet customers' needs.
3470,Expand or modify system to serve new purposes or improve work flow.
3478,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes."
3480,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements."
3581,Analyze data to recommend placement of wells and supplementary processes to enhance production.
3588,Write technical reports for engineering and management personnel.
3589,"Evaluate findings to develop, design, or test equipment or processes."
3591,Interpret drilling and testing information for personnel.
3900,Schedule use of studio and editing facilities for producers and engineering and maintenance staff.
3970,"Review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding."
3975,"Arrange for typing, duplication, and distribution of material."
5322,"Document computer security and emergency measures policies, procedures, and tests."
5506,Locate and obtain existing geographic information databases.
5511,"Study the economic, political, and cultural characteristics of a specific region's population."
7318,"Examine the minutes of meetings of directors, stockholders, and committees to investigate the specific authority extended at various levels of management."
7372,"Assemble sets of assumptions, and explore the consequences of each set."
11252,"Complete expense reports, sales reports, or other paperwork."
14624,Assign or schedule tasks to meet work priorities and goals.
14625,Evaluate project plans and proposals to assess feasibility issues.
14636,"Approve, prepare, monitor, and adjust operational budgets."
14647,"Review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks."
14655,"Conduct software compatibility tests with programs, hardware, operating systems, or network environments."
14667,"Provide advice on project costs, design concepts, or design changes."
14670,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.
14671,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability."
14673,"Identify system data, hardware, or software components required to meet user needs."
14681,"Define and analyze objectives, scope, issues, or organizational impact of information systems."
14686,"Research, test, or verify proper functioning of software patches and fixes."
14687,"Communicate project information through presentations, technical reports, or white papers."
14708,Communicate with network personnel or Web site hosting agencies to address hardware or software issues affecting Web sites.
14714,Develop or implement procedures for ongoing Web site revision.
14717,Establish appropriate server directory trees.
14719,Recommend and implement performance improvements.
14722,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware."
14723,Monitor security system performance logs to identify problems and notify security specialists when problems occur.
14743,"Install or configure Web server software or hardware to ensure that directory structure is well-defined, logical, and secure, and that files are named properly."
14744,"Gather, analyze, or document user feedback to locate or resolve sources of problems."
14762,Set up or maintain monitoring tools on Web servers or Web sites.
15416,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends."
15423,"Document testing procedures, methodologies, or criteria."
15425,Create and implement inspection and testing criteria or procedures.
15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors."
15459,"Conduct cost, material, and efficiency studies for biofuels production plants or operations."
15460,"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes."
15583,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues."
15598,Order drugs or devices necessary for study completion.
15600,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.
15691,"Document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows."
15721,"Investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources."
15885,Determine packaging requirements.
15969,"Research or review regulatory, technical, or market issues related to sustainability."
15976,Develop reports or presentations to communicate the effectiveness of sustainability initiatives.
15988,Produce written summary reports of financial research results.
